date,ticker,open,high,low,close,volume
2026-01-01,BID,38900.0,38900.0,38900.0,38900.0,0
2026-01-02,BID,38900.0,38900.0,38900.0,38900.0,0
2026-01-05,BID,38850.0,38900.0,37900.0,38450.0,3885400
2026-01-06,BID,38300.0,38900.0,37800.0,38900.0,4854900
2026-01-07,BID,39500.0,41400.0,39500.0,40950.0,13409700
2026-01-08,BID,41300.0,43800.0,40900.0,43050.0,27506700
2026-01-09,BID,43800.0,46050.0,43700.0,46050.0,22918600
2026-01-12,BID,47900.0,49250.0,47000.0,49250.0,7783600
2026-01-13,BID,49350.0,51600.0,48600.0,51000.0,21869900
2026-01-14,BID,50800.0,54500.0,50200.0,54500.0,17646800
2026-01-15,BID,52600.0,54000.0,50700.0,50700.0,26455700
2026-01-16,BID,51000.0,54200.0,50400.0,51100.0,13973800
2026-01-19,BID,51100.0,52600.0,50500.0,52000.0,9409600
2026-01-20,BID,52900.0,55300.0,52200.0,53200.0,15547500
2026-01-21,BID,52600.0,53900.0,51100.0,53000.0,11935000
2026-01-22,BID,53500.0,56600.0,51600.0,52000.0,18089900
2026-01-23,BID,51800.0,52800.0,50700.0,50800.0,10080300
2026-01-26,BID,51000.0,52600.0,50800.0,52500.0,11947600
2026-01-27,BID,52500.0,52800.0,49500.0,52600.0,12478800
2026-01-28,BID,53400.0,55900.0,51400.0,51900.0,17897800
2026-01-29,BID,51800.0,52800.0,51000.0,51900.0,7082200
2026-01-30,BID,52300.0,54500.0,51900.0,53900.0,13696100
2026-02-02,BID,53800.0,55200.0,52100.0,55000.0,11934200
2026-02-03,BID,55700.0,56500.0,54000.0,54100.0,11573700
2026-02-04,BID,54000.0,54400.0,52600.0,53000.0,9645300
2026-02-05,BID,53000.0,53300.0,51500.0,51500.0,9817200
2026-02-06,BID,50700.0,52300.0,50700.0,51400.0,9885700
2026-02-09,BID,51800.0,51800.0,50600.0,50600.0,3595300
2026-02-10,BID,50200.0,50500.0,47100.0,47100.0,22973600
2026-02-11,BID,46550.0,48750.0,46100.0,48500.0,8738800
2026-02-12,BID,48300.0,48500.0,47350.0,47550.0,4806600
2026-02-13,BID,47550.0,47700.0,46800.0,46900.0,6762700
2026-02-16,BID,46900.0,46900.0,46900.0,46900.0,0
2026-02-17,BID,46900.0,46900.0,46900.0,46900.0,0
2026-02-18,BID,46900.0,46900.0,46900.0,46900.0,0
2026-02-19,BID,46900.0,46900.0,46900.0,46900.0,0
2026-02-20,BID,46900.0,46900.0,46900.0,46900.0,0
2026-02-23,BID,47600.0,49700.0,47150.0,49100.0,7557400
2026-02-24,BID,49450.0,49450.0,48450.0,48750.0,5739400
2026-02-25,BID,48950.0,49950.0,48500.0,48500.0,8375400
2026-02-26,BID,48550.0,48900.0,47750.0,48450.0,4690300
2026-02-27,BID,48450.0,49100.0,47500.0,47900.0,6519700
2026-03-02,BID,46050.0,47400.0,45200.0,45200.0,11738000
2026-03-03,BID,46050.0,47400.0,45200.0,45200.0,11738000
2026-03-04,BID,43400.0,45600.0,43400.0,45600.0,10734400
2026-03-05,BID,46100.0,46100.0,44400.0,44400.0,6063200
2026-03-06,BID,44000.0,45000.0,43000.0,43550.0,5423100
2026-03-09,BID,40550.0,41000.0,40550.0,40550.0,6134800
2026-03-10,BID,41500.0,42800.0,39500.0,41800.0,14055500
2026-03-11,BID,41300.0,42350.0,41300.0,41700.0,6154500
2026-03-12,BID,41800.0,41900.0,40650.0,40750.0,6452900
2026-03-13,BID,40600.0,41250.0,39950.0,40650.0,7923500
2026-03-16,BID,40500.0,41200.0,40000.0,40300.0,5174500
2026-03-17,BID,40800.0,41300.0,40350.0,40450.0,6922000
2026-03-18,BID,41100.0,43000.0,41000.0,41300.0,14609300
2026-03-19,BID,40900.0,41100.0,40100.0,40650.0,6392700
2026-03-20,BID,40650.0,41100.0,39600.0,39750.0,10147300
2026-03-23,BID,39400.0,39450.0,38100.0,38450.0,10634100
2026-03-24,BID,39300.0,39600.0,38500.0,39100.0,6990400
2026-03-25,BID,39500.0,39650.0,38900.0,39500.0,8722100
2026-03-26,BID,39500.0,39700.0,38900.0,38900.0,6156000
2026-03-27,BID,38900.0,39900.0,38900.0,39850.0,8196600
2026-03-30,BID,39100.0,39550.0,38950.0,39450.0,6075800
2026-03-31,BID,39600.0,39800.0,39100.0,39400.0,7278600
2026-04-01,BID,40000.0,40600.0,39700.0,40250.0,10071800
2026-04-02,BID,40000.0,40000.0,39400.0,39700.0,7101700
2026-04-03,BID,39700.0,39750.0,39050.0,39050.0,7279600
2026-04-06,BID,39050.0,39400.0,38650.0,39350.0,5679400
2026-04-07,BID,39400.0,39500.0,39000.0,39400.0,4798100
2026-04-08,BID,40500.0,41450.0,40050.0,41450.0,15053900
2026-04-09,BID,41000.0,41150.0,40500.0,40600.0,8138800
2026-04-10,BID,41100.0,41950.0,40650.0,40800.0,8968200
2026-04-13,BID,40500.0,40750.0,40250.0,40350.0,5770800
2026-04-14,BID,40750.0,40850.0,40250.0,40400.0,5565300
2026-04-15,BID,40750.0,41000.0,40300.0,40300.0,6296700
2026-04-16,BID,40400.0,40600.0,40150.0,40200.0,4295800
2026-04-17,BID,40300.0,40700.0,40100.0,40300.0,5789600
2026-04-20,BID,40450.0,40750.0,40250.0,40550.0,5993200
2026-04-21,BID,40750.0,41300.0,40400.0,40400.0,7980700
2026-04-22,BID,40600.0,40600.0,40200.0,40250.0,3619600
2026-04-23,BID,40250.0,43050.0,40250.0,41600.0,23927000
2026-04-24,BID,41600.0,41650.0,40750.0,40750.0,4703800
2026-04-27,BID,40750.0,40750.0,40750.0,40750.0,0
2026-04-28,BID,40900.0,41100.0,40050.0,40150.0,6600700
2026-04-29,BID,40200.0,40350.0,39700.0,40100.0,6693000
2026-04-30,BID,40100.0,40100.0,40100.0,40100.0,0
2026-05-01,BID,40100.0,40100.0,40100.0,40100.0,0
2026-05-04,BID,40400.0,41300.0,40100.0,40850.0,6495500
2026-05-05,BID,40600.0,40800.0,40200.0,40550.0,3474000
2026-05-06,BID,40700.0,41000.0,40550.0,40900.0,4399100
2026-05-07,BID,41200.0,41300.0,40800.0,40850.0,7167000
2026-05-08,BID,40850.0,42800.0,40850.0,42400.0,23775900
2026-05-11,BID,42700.0,42700.0,41500.0,41500.0,6557100
2026-05-12,BID,41550.0,41750.0,41050.0,41750.0,6207800
2026-05-13,BID,41800.0,43000.0,41150.0,42800.0,15229800
2026-05-14,BID,42900.0,44250.0,42850.0,43550.0,11071100
2026-05-15,BID,44000.0,44000.0,42850.0,42950.0,10515600
2026-05-18,BID,42800.0,45500.0,42200.0,45300.0,17432500
2026-05-19,BID,45400.0,46400.0,43200.0,44250.0,19441800
2026-05-20,BID,43750.0,44200.0,41900.0,43900.0,10319200
2026-05-21,BID,44400.0,44700.0,43500.0,43800.0,7402400
2026-05-22,BID,43850.0,43850.0,42650.0,43000.0,6357600
2026-05-25,BID,43050.0,43100.0,42400.0,43000.0,5080600
2026-05-26,BID,42950.0,43800.0,42750.0,43600.0,4349700
2026-05-27,BID,43850.0,43850.0,43200.0,43300.0,3843400
2026-05-28,BID,43300.0,43500.0,42500.0,42500.0,4024000
2026-05-29,BID,42450.0,42550.0,41800.0,42000.0,5960400
2026-06-01,BID,42050.0,42450.0,41600.0,41900.0,4502300
2026-06-02,BID,41800.0,42250.0,41100.0,41700.0,4522400
2026-06-03,BID,41600.0,42200.0,41500.0,41900.0,2717200
2026-06-04,BID,41900.0,42800.0,41850.0,42650.0,3897900
2026-06-05,BID,42800.0,42800.0,42000.0,42000.0,2265100
2026-06-08,BID,41600.0,41900.0,40950.0,41000.0,5125200
2026-06-09,BID,41350.0,41400.0,40800.0,41150.0,2030800
2026-06-10,BID,41300.0,42300.0,41250.0,41650.0,3656500
