ticker,company_name,sector,industry,market_cap,pe_ratio,eps,dividend_yield,52w_high,52w_low,avg_volume,currency,exchange,employees,website,description
VIC,Vingroup Joint Stock Company,Real Estate,Real Estate Services,1469753109512192,138.8889,1411.2,N/A,232000.0,41300.0,3797937,VND,VSE,286,https://www.vingroup.net,"Vingroup Joint Stock Company invests in, constructs, and trades in real estate properties in Vietnam. It operates through Sale of Inventory Properties; Leasing Investment Properties and Related Servic"
VHM,Vinhomes Joint Stock Company,Real Estate,Real Estate - Development,593521060872192,25.903486,5578.4,N/A,173300.0,66400.0,5470241,VND,VSE,12155,https://vinhomes.vn,"Vinhomes Joint Stock Company develops and sells real estate properties in Vietnam. The company also leases office properties. In addition, it provides real estate management and related services; gene"
VNM,Vietnam Dairy Products Joint Stock Company,Consumer Defensive,Packaged Foods,123725366165504,13.437077,4405.72,9.08,75500.0,55000.0,3654370,VND,VSE,9794,https://www.vinamilk.com.vn,"Vietnam Dairy Products Joint Stock Company provides milk and dairy products in Vietnam and internationally. The company processes, manufactures, and distributes milk cake, soya and fresh milk, refresh"
HPG,Hoa Phat Group Joint Stock Company,Basic Materials,Steel,196722185732096,9.456782,2463.84,1.93,28045.455,19696.969,31897180,VND,VSE,31574,https://www.hoaphat.com.vn,"Hoa Phat Group Joint Stock Company produces and sells steel products in Vietnam. It engages in financial investments; integrated investment in construction; exploration and exploitation of minerals, m"
MWG,Mobile World Investment Corporation,Consumer Cyclical,Specialty Retail,112921770196992,13.8114605,5567.84,1.28,94400.0,61500.0,6085217,VND,VSE,66307,https://www.mwg.vn,"Mobile World Investment Corporation, together with its subsidiaries, engages in trading, repair and maintenance services of mobile phones, information technology equipment, and related accessories in "
TCB,Vietnam Technological and Commercial Joint Stock Bank,Financial Services,Banks - Regional,218610513477632,8.40446,3670.67,2.26,42500.0,28350.0,11541575,VND,VSE,12946,https://techcombank.com,Vietnam Technological and Commercial Joint Stock Bank provides personal and corporate banking products and services in Vietnam and internationally. The company offers personal banking products and ser
VCB,Joint Stock Commercial Bank for Foreign Trade of Vietnam,Financial Services,Banks - Regional,514709585395712,15.624089,3942.63,0.73,78800.0,55700.0,7533772,VND,VSE,23448,https://www.vietcombank.com.vn,"Joint Stock Commercial Bank for Foreign Trade of Vietnam, together with its subsidiaries, provides banking products and services in Vietnam. The company accepts short, medium, and long-term deposits f"
BID,Joint Stock Commercial Bank for Investment and Development of Vietnam,Financial Services,Banks - Regional,301394699485184,10.676652,3877.62,1.08,56600.0,35000.0,7642345,VND,VSE,29048,https://bidv.com.vn,"Joint Stock Commercial Bank for Investment and Development of Vietnam, together with its subsidiaries, provides various banking products and services in Vietnam and internationally. The company offers"
CTG,Vietnam Joint Stock Commercial Bank for Industry and Trade,Financial Services,Banks - Regional,259027615350784,6.8000164,4904.4,0.93,43500.0,25961.62,8320877,VND,VSE,24513,https://www.vietinbank.vn,"Vietnam Joint Stock Commercial Bank for Industry and Trade, together with its subsidiaries, provides various banking products and services in Vietnam and internationally. The company offers account se"
FPT,FPT Corporation,Technology,Information Technology Services,124526369177600,13.551241,5394.34,2.7,112800.0,70000.0,10171054,VND,VSE,45507,https://fpt.com,"FPT Corporation, together with its subsidiaries, provides information technology (IT) and telecommunication products and services in Vietnam and internationally. It operates through Information Techno"
