ticker,price,open,high,low,volume,change,pct_change,date
VIC,195900.0,198500.0,198700.0,195000.0,455998,-100.0,-0.05,2026-06-12
VHM,144400.0,146500.0,147200.0,144300.0,596288,-100.0,-0.07,2026-06-12
VNM,59500.0,59300.0,59800.0,59300.0,1147251,300.0,0.51,2026-06-12
HPG,23400.0,23550.0,23550.0,23400.0,3228558,100.0,0.43,2026-06-12
MWG,77100.0,77800.0,77800.0,77000.0,946423,200.0,0.26,2026-06-12
TCB,31150.0,31300.0,31300.0,31050.0,3709318,300.0,0.97,2026-06-12
VCB,61800.0,61900.0,62100.0,61600.0,726575,200.0,0.32,2026-06-12
BID,41400.0,41800.0,41900.0,41400.0,941400,0.0,0.0,2026-06-12
CTG,33550.0,33550.0,33650.0,33500.0,1358208,200.0,0.6,2026-06-12
FPT,74200.0,73600.0,74300.0,73500.0,1961553,1100.0,1.5,2026-06-12
